Year ,Au_PCB,Pb_PCB,Pb_CRT,Hg_LCD,In_LED,In_LCD,Li_LIB,Co_LIB
1980,0.0006,0.02,0.098173,0,0.00023175,0.00023175,0.019,0.125
1981,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1982,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1983,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1984,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1985,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1986,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1987,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1988,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1989,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1990,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1991,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1992,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1993,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1994,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1995,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1996,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1997,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1998,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
1999,0.0006,0.02,0.098172856,0,0.00023175,0.00023175,0.019,0.125
2000,0.0006,0.02,0.098172856,4.05E-05,0.00023175,0.00023175,0.019,0.125
2001,0.0006,0.02,0.098172856,4.21E-05,0.00023175,0.00023175,0.019,0.125
2002,0.0006,0.02,0.098172856,4.38E-05,0.00023175,0.00023175,0.019,0.125
2003,0.0006,0.02,0.098172856,4.38E-05,0.00023175,0.00023175,0.019,0.125
2004,0.0006,0.02,0.098172856,0.000045375,0.00023175,0.00023175,0.019,0.125
2005,0.0006,0.02,0.098172856,4.86E-05,0.00023175,0.00023175,0.019,0.125
2006,0.0006,0.02,0.098172856,5.35E-05,0.00023175,0.00023175,0.019,0.125
2007,0.0006,0.02,0.098172856,5.83E-05,0.00023175,0.00023175,0.019,0.125
2008,0.0006,0.02,0.098172856,5.83E-05,0.00023175,0.00023175,0.019,0.125
2009,0.0006,0.01,0.098172856,5.83E-05,0.00023175,0.00023175,0.019,0.125
2010,0.0006,0.005,0.098172856,6.00E-05,0.00023175,0.00023175,0.019,0.125
2011,0.0006,0,0.098172856,6.00E-05,0.00023175,0.00023175,0.019,0.125
2012,0.0006,0,0.098172856,6.16E-05,0.00023175,0.00023175,0.019,0.125
2013,0.0006,0,0.098172856,6.32E-05,0.00023175,0.00023175,0.019,0.125
2014,0.0006,0,0.098172856,0.000066442,0.00023175,0.00023175,0.019,0.125
2015,0.0006,0,0.098172856,6.81E-05,0.00023175,0.00023175,0.019,0.125
2016,0.0006,0,0.098172856,6.81E-05,0.00023175,0.00023175,0.019,0.125
2017,0.0006,0,0.098172856,6.81E-05,0.00023175,0.00023175,0.019,0.125
2018,0.0006,0,0.098172856,6.81E-05,0.00023175,0.00023175,0.019,0.125
